"query","title","link","description","when","start_date","end_date","address","venue","location","thumbnail"
"book club events Seattle","Tool Library Book Club","https://seattlereconomy.org/event/tool-library-book-club-9/","We will discuss ""Hollow Kingdom"" by Kira Jane Buxton. Everyone is welcome!Join us for the tenth edition of the NE Seattle Tool Library\'s book club! We’ll be reading the Hollow […]\n","Wed, Feb 18, 7:00 – 8:30 PM","Feb 18","","['NE Seattle Tool Library, 10228 Fischer Pl NE', 'Seattle, WA']","{'name': 'NE Seattle Tool Library', 'rating': 5.0, 'reviews': 112, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=NE+Seattle+Tool+Library&ludocid=5152225841349018045&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROVRRjC_JWs2--u0yHgc2jJO2ZoKGx2rcFRZgOJ6VeYszvkVFMcqYi6qc&s"
"book club events Seattle","Bookish Trivia Night","https://theticket.seattletimes.com/calendar/?_evDiscoveryPath=/event/3430587-romance-trivia-with-silent-book-club-capitol-hill-and-freeze-tag","Join Silent Book Club Capitol Hill and Freeze Tag for a post Valentine’s themed bookish trivia event ! 🤔 Romance Based Trivia - Find out how much you know about romantic and platonic...","Thu, Feb 19, 6:30 – 9:00 PM","Feb 19","","['a/stir, 818 E Pike St', 'Seattle, WA']","{'name': 'a/stir', 'rating': 4.4, 'reviews': 2769, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=a/stir&ludocid=14974147909897517743&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuUQnD57ihAiQm17z5mW3YcX73NiKBVeFyQL-NXkcJcP366iPlG6fWfww&s"
"book club events Seattle","SJCC Book Club","https://sjcc.org/event/sjcc-book-club/","Join us as we launch a new SJCC Book Club, a space for thoughtful reading, meaningful discussion, and connection across our SJCC community. Our first selection is “Hostage,” by Eli Sharabi, a...","Tue, Feb 17, 6:30 – 8:00 PM","Feb 17","","['Stroum Jewish Community Center, 3801 E Mercer Way', 'Mercer Island, WA']","{'name': 'Stroum Jewish Community Center', 'rating': 4.4, 'reviews': 50, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Stroum+Jewish+Community+Center&ludocid=14566958498020553624&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVSlsImCm5Wd9ysMvYcRk2gAfw3NWCOV7dhjGihEHGgtAjrqZplv-k85Y&s"
"book club events Seattle","Asylum Book Club","https://www.eventbrite.com/e/silent-reading-jazz-wine-bar-coffee-tickets-1956762151269?aff=erelexpmlt","Unwind with a book, global jazz, and bottomless drinks in hand. BYOB (Bring Your Own Book) or borrow one from Asylum's library. 21+ Silent Reading Night @ Asylum | 7PM–9PM 📍 Asylum Collective ...","Tue, Feb 24, 6 – 8 PM","Feb 24","","['Asylum, 108 S Jackson St ste b', 'Seattle, WA']","{'name': 'Asylum', 'rating': 4.2, 'reviews': 18, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Asylum&ludocid=17463902448047566843&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj9o5J1KePSiSxjdo3uhtiZM1apAUXCItdknWlu99_RX2pB3sLUW_i9rQ&s"
"book club events Seattle","Obec Book Club — Ballard Brewed Coalition","https://www.ballardbrewed.com/events/nhq3ga7q0u6s02f4dxzhytqdp0o61d-hyd43-zzxm7-339ge-a8myz-nk9az-eaat5-eatwa-cg9xe-2y764-xcs7p-2azln-rhhnp-a22jj-ew8zg-2ehbb-3hpcg-jhmw6-pw54h-7kkjw","Obec Book Club The book for February will be selected at the January meetup.","Mon, Feb 23, 6 – 8 PM","Feb 23","","['Obec Brewing, 1144 NW 52nd St', 'Seattle, WA']","{'name': 'Obec Brewing', 'rating': 4.6, 'reviews': 327, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Obec+Brewing&ludocid=11757658827303850673&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoo3c5BOz0EabYHtE22YhvXJRzsNp8hWBfjAbJvTg&s"
"book club events Seattle","Silent Book Club","https://populusseattle.com/event/silent-book-club/2026-04-16/","Populus Seattle welcomes the global phenomenon Silent Book Club to Pioneer Square. Guests are invited to enjoy a free evening of quiet reading, soft music, and cozy connection in one … Continued\n","Thu, Apr 16, 6 – 8 PM","Apr 16","","['Populus Seattle, 100 S King St', 'Seattle, WA']","{'name': 'Populus Seattle', 'rating': 4.8, 'reviews': 94, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Populus+Seattle&ludocid=15661429051333575943&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiyeN8OiJzCZS7hIcMfDRvlOrrFmmwV87QYzitRYWJgJ7i07eNkLPzV54&s"
"book club events Seattle","Book Club - The Sword of Kaigen by M.L. Wang","https://www.meetup.com/fremontfantasy/","Welcome to the Fremont Fantasy Book Club! We will meet once a month in the Fremont area to discuss a book! If you like to read fun books and yap about them, come hang. This is a low stress...","Sun, Feb 22, 12:30 – 2:00 PM","Feb 22","","['Fremont Branch - The Seattle Public Library, 731 N 35th St', 'Seattle, WA']","{'name': 'Fremont Branch - The Seattle Public Library', 'rating': 4.6, 'reviews': 80, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Fremont+Branch+-+The+Seattle+Public+Library&ludocid=17708832592472631783&ibp=gwp%3B0,7'}","","https://www.google.com/maps/vt/data=QLd0KA20JQu0iXj2K8cKn5svsGE_SQ-R_Ch3s-ZJ9itwZ4goAQVcQjndo6UuHPhqexnoUeLwcHZLZRy1nbZLBUsYiuL4whjic0L6QYT1gUmGz3ATxjw"
"book club events Seattle","February Book Club!","https://www.eventbrite.com/e/february-book-club-tickets-1981536108843","Come meet new people and talk about Remarkably Bright Creatures. Enjoy 10% off while you are here for Book Club!","Fri, Feb 27, 7 – 8 PM","Feb 27","","['Sfingiday, 601 N 35th St', 'Seattle, WA']","{'name': 'Sfingiday', 'rating': 4.9, 'reviews': 65, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Sfingiday&ludocid=5063786251865508428&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSR-m9MIe6H4RImMsLVeJUMpgwMQ2VlxognwB-Pg08&s"
"book club events Seattle","March Book Club - ""Spear"" by Nicola Griffith","https://www.meetup.com/lesbianlit-117/events/312781735/","A book-club discussion of Spear by Nicola Griffith for readers of queer Arthurian fiction; participants will identify themes and takeaways.","Sat, Mar 14, 9:30 – 11:30 PM","Mar 14","","['400 E Pine St', 'Seattle, WA']","","","https://www.google.com/maps/vt/data=uIT_Bg-lzFgcY7KywkIkHce108Vky0_IkaaT9ydgEHvUiQATZ1hy0Fohgpp_dHRuFngyXGmRZE1lPgxbzqBw5UlSMzRknng9DCs4PN0CejjYZy3XSmA"
"book club events Seattle","Bookish Romance Trivia with Silent Book Club Capitol Hill and Freeze Tag","https://yotix.in/events/detail/bookish-romance-trivia-with-silent-book-club-capitol-hill-and-freeze-tag-1980232109546","","Fri, Feb 20, 2:30 – 5:00 AM","Feb 20","","['818 E Pike St', 'Seattle, WA']","","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDlEOxKH3g2xAnt2BjYb9RdKL74o4i_SUQaHeXg118y31QiK9Jp38xs_o&s"
"book club events Seattle","Sammamish Connections Book Club","https://kcls.bibliocommons.com/events/6925fa53f8747e3e00241220","Cloistered: My Years as a Nun by Catherine Coldstream Join us for a lively book discussion — new members are always welcome! Meets on the third Thursday of every month. For adults. Registration is...","Thu, Feb 19, 6:30 – 8:30 PM","Feb 19","","['825 228th Ave SE', 'Sammamish, WA']","","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSh8Jrn9oAS7nrN7PTAjRDBk6UKwu9Pf5ClHeJxc_ta48RW7-bC4OXEqSs&s"
"book club events Seattle","Bring Your Own Book Club","https://kcls.bibliocommons.com/events/6925f71be80c50300038adab","Have you always wanted to join a book club but couldn’t commit? Are you tired of assigned reading? Then this casual book discussion group is for you! Bring what you are currently reading and leave...","Mon, Mar 9, 2:00 – 3:30 PM","Mar 9","","['Shoreline Lake Forest Park Senior Center, 18560 1st Ave NE Bldg G', 'Shoreline, WA']","{'name': 'Shoreline Lake Forest Park Senior Center', 'rating': 4.6, 'reviews': 108, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Shoreline+Lake+Forest+Park+Senior+Center&ludocid=11179242060983261929&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVOxN80dO08cGd8tJGmgiWLg_fXZxH22Utw5h8i7dPN6l8B8N0wpiCkis&s"
"book club events Seattle","February Book Club: Ministry of Time","https://www.eventbrite.ca/e/february-book-club-ministry-of-time-tickets-1978937195423","Join us for a book club discussion of Kaliane Bradley's Ministry of Time!","Thu, Feb 26, 7:15 – 8:15 PM","Feb 26","","['Secret Garden Bookshop, 2214 NW Market St', 'Seattle, WA']","{'name': 'Secret Garden Bookshop', 'rating': 4.6, 'reviews': 284, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Secret+Garden+Bookshop&ludocid=469696138066961005&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPcnp1Pz6xqhQ0HIMGylf0PBBUbOPSxa5ccO6P3u-8FOQ2rHOfy-hcYas&s"
"book club events Seattle","Book Club","https://issaquahhighlands.com/event/book-club-9-2/2026-03-10/","Book Club is a great place to meet neighbors and explore a variety of books. All are welcome and you...\n","Tue, Mar 10, 7:00 – 8:30 PM","Mar 10","","['Blakely Hall, 2550 NE Park Dr #5', 'Issaquah, WA']","{'name': 'Blakely Hall', 'rating': 4.5, 'reviews': 48, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Blakely+Hall&ludocid=18149445388396823902&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVCadqp65axk4ZSr8x9AAE0_AxfGW9ms7izwRHWd1hCk4L8yEZqd5-3JM&s"
"book club events Seattle","Reading Rebels Book Club","https://krl.bibliocommons.com/events/6938a9b56724c63d00e62391","Each month we take a different theme, pick out books to read, and talk about them the following month. We learn how to think critically about our books, try out new genres, and share our thoughts...","Thu, Feb 19, 4 – 5 PM","Feb 19","","['1270 Madison Ave N', 'Bainbridge Island, WA']","","","https://www.google.com/maps/vt/data=yHXDCJU9MX-seBD-RXLT_CbW2PSNm-C1VMfPPv_hj1AlUOkSTgDp0-ufGE3I7xDecdR4o88NhKCGdppx5GmwFQrsRmHtcNMTrlU15MsxBstmVggJzAQ"
"book club events Seattle","Gig Harbor Nonfiction Book Club","https://calendar.piercecountylibrary.org/event/15544278","Tue, Feb 03, 10:15am - 11:15am Gig Harbor Large Meeting Room Wiggles welcome! Join us for stories, songs and fun designed for toddlers.","Wed, Feb 18, 6 – 7 PM","Feb 18","","['Gig Harbor Pierce County Library, 4424 Point Fosdick Dr', 'Gig Harbor, WA']","{'name': 'Gig Harbor Pierce County Library', 'rating': 4.8, 'reviews': 95, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Gig+Harbor+Pierce+County+Library&ludocid=3497520378799721799&ibp=gwp%3B0,7'}","","https://www.google.com/maps/vt/data=KdBsrhYN8aOLLOztMrwWBR0Go93ZT9Xm54OSa6gm_zyQhe6nu6Z10EK7SjoVm1NVi9xnOLuxsI5y72HY_SDkfP01r4wSeGBe1VoYARvs8EY-5T2k6Ng"
"book club events Seattle","Engayging in Sapphistry: A Book Club","https://kcls.bibliocommons.com/events/68f00af13cbc052f008000f3","Pride Across the Bridge & the Redmond Library are co-creating a sapphic-centered book club for queer adults! Whether you’re into queer classics, messy drama, or soft sapphic stories—this space is...","Sun, Mar 15, 2 – 3 PM","Mar 15","","['Redmond Library, 15990 NE 85th St', 'Redmond, WA']","{'name': 'Redmond Library', 'rating': 4.6, 'reviews': 421, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Redmond+Library&ludocid=10162122076226988230&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQvzdYjsKJkhhcRINBlLW-4ew09lXMsTa4YQBQWBokh0VfovZHgQv2slQ&s"
"book club events Seattle","Swasey Book Club","https://tacoma.bibliocommons.com/events/69013276dff9d93e00cd5261","Join us for the Swasey Book Club! February's selection is The Girls of Atomic City: the Untold Story of the Women Who Helped Win WWII by Denise Kiernan. About the book: Kiernan traces the...","Tue, Feb 17, 6:30 – 7:30 PM","Feb 17","","['Tacoma Public Library Swasey Branch, 7001 6th Ave', 'Tacoma, WA']","{'name': 'Tacoma Public Library Swasey Branch', 'rating': 4.7, 'reviews': 41, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Tacoma+Public+Library+Swasey+Branch&ludocid=2138789021756934603&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHldoLUGLmZzYZoqlyCa9H5wG4AHf2vGI1vnbNfEtCCY0g_5N6lcK4U-w&s"
"book club events Seattle","Milton/Edgewood Book Club","https://piercecounty.libnet.info/event/15061042","Read and discuss a different book most third Thursdays of the month. Books available at Milton/Edgewood Pierce County Library Help Desk.","Thu, Feb 19, 1 – 2 PM","Feb 19","","['Milton-Edgewood Eye Clinic, 900 Meridian Ave E #18', 'Milton, WA']","{'name': 'Milton-Edgewood Eye Clinic', 'rating': 4.8, 'reviews': 280, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Milton-Edgewood+Eye+Clinic&ludocid=2993695912736527553&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTO5zq0h-I3d9Dg-i0021EvGYzg5V4PmnCxx1fHRC2mlFD03tM_s7Y8p58&s"
"book club events Seattle","March Book Club: I Who Have Never Known Men","https://www.eventbrite.ca/e/march-book-club-i-who-have-never-known-men-tickets-1981978078787","Join us for a book club discussion of Jacqueline Harpman's I Who Have Never Known Men!","Thu, Mar 26, 7:15 – 8:15 PM","Mar 26","","['Secret Garden Bookshop, 2214 NW Market St', 'Seattle, WA']","{'name': 'Secret Garden Bookshop', 'rating': 4.6, 'reviews': 284, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Secret+Garden+Bookshop&ludocid=469696138066961005&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnqb5SXt5ZXQa64WYDg0oObXEwwW4d4sFhtyRT49RpqsC62iNlQX0XMTI&s"
"book club events Seattle","Main Book Club","https://tacoma.bibliocommons.com/events/68f3e9aaebaafcf40c2fe889","Join the Main Book Club in the Olympic Room to discuss the novel, Colored Television by Danzy Senna. About the book: A dark comedy about second acts, creative appropriation, and the racial...","Wed, Feb 18, 6:30 – 7:30 PM","Feb 18","","['Tacoma Public Library Main Branch, 1102 Tacoma Ave S', 'Tacoma, WA']","{'name': 'Tacoma Public Library Main Branch', 'rating': 4.3, 'reviews': 95, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Tacoma+Public+Library+Main+Branch&ludocid=15210664258434994336&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSx5hOoDP1rJH6tG8Dz4rker1xnI3rhm-pQoetSfF-Y67MYNPNQs-bmhvM&s"
"book club events Seattle","Bring Your Own Book Club","https://kcls.bibliocommons.com/events/6925f71be80c50300038adac","Have you always wanted to join a book club but couldn’t commit? Are you tired of assigned reading? Then this casual book discussion group is for you! Bring what you are currently reading and leave...","Mon, Apr 6, 2:00 – 3:30 PM","Apr 6","","['Shoreline Lake Forest Park Senior Center, 18560 1st Ave NE Bldg G', 'Shoreline, WA']","{'name': 'Shoreline Lake Forest Park Senior Center', 'rating': 4.6, 'reviews': 108, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Shoreline+Lake+Forest+Park+Senior+Center&ludocid=11179242060983261929&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVOxN80dO08cGd8tJGmgiWLg_fXZxH22Utw5h8i7dPN6l8B8N0wpiCkis&s"
"book club events Seattle","Chapter One Book Club","https://kcls.bibliocommons.com/events/691e614b9be7c6685c28f83b","Come and read the first chapter of a new book for elementary aged kids! Then participate in a fun activity based on the book. Get some new book recommendations and read with other kids. Copies of...","Tue, Mar 10, 4 – 5 PM","Mar 10","","['Renton Highlands Library, 2801 NE 10th St', 'Renton, WA']","{'name': 'Renton Highlands Library', 'rating': 4.5, 'reviews': 108, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Renton+Highlands+Library&ludocid=8557315458386161416&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyBlYMS8X36nf-tMChGx4WMS3kq5ZSuICx_nyMED8ynAE9NssF6bWMM8U&s"
"book club events Seattle","Bring Your Own Book Club","https://kcls.bibliocommons.com/events/6925f71be80c50300038adad","Have you always wanted to join a book club but couldn’t commit? Are you tired of assigned reading? Then this casual book discussion group is for you! Bring what you are currently reading and leave...","Mon, May 4, 2:00 – 3:30 PM","May 4","","['Shoreline Lake Forest Park Senior Center, 18560 1st Ave NE Bldg G', 'Shoreline, WA']","{'name': 'Shoreline Lake Forest Park Senior Center', 'rating': 4.6, 'reviews': 108, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Shoreline+Lake+Forest+Park+Senior+Center&ludocid=11179242060983261929&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVOxN80dO08cGd8tJGmgiWLg_fXZxH22Utw5h8i7dPN6l8B8N0wpiCkis&s"
"book club events Seattle","Silent Book Club Night!!","https://www.eventbrite.com/e/silent-book-club-night-tickets-1982157014990","Join a diverse community that loves reading, meeting new people, and intentionally taking time to slow down and just be.✨️","Thu, Feb 26, 6:30 – 8:30 PM","Feb 26","","[""Quinn's Pub, 1001 E Pike St"", 'Seattle, WA']","{'name': ""Quinn's Pub"", 'rating': 4.3, 'reviews': 748, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Quinn%27s+Pub&ludocid=2577261479054939371&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwNC4racSQtQOwnevnB-CreC9FXIn6ADfw2gamQI7CBtQ86K4vWaaru1c&s"
"book club events Seattle","Book Club","https://issaquahhighlands.com/event/book-club-9-2/2026-04-14/","Book Club is a great place to meet neighbors and explore a variety of books. All are welcome and you...\n","Tue, Apr 14, 7:00 – 8:30 PM","Apr 14","","['Blakely Hall, 2550 NE Park Dr #5', 'Issaquah, WA']","{'name': 'Blakely Hall', 'rating': 4.5, 'reviews': 48, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Blakely+Hall&ludocid=18149445388396823902&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVCadqp65axk4ZSr8x9AAE0_AxfGW9ms7izwRHWd1hCk4L8yEZqd5-3JM&s"
"book club events Seattle","Bring Your Own Book Club","https://kcls.bibliocommons.com/events/6925f71be80c50300038adae","Have you always wanted to join a book club but couldn’t commit? Are you tired of assigned reading? Then this casual book discussion group is for you! Bring what you are currently reading and leave...","Mon, Jun 1, 2:00 – 3:30 PM","Jun 1","","['Shoreline Lake Forest Park Senior Center, 18560 1st Ave NE Bldg G', 'Shoreline, WA']","{'name': 'Shoreline Lake Forest Park Senior Center', 'rating': 4.6, 'reviews': 108, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Shoreline+Lake+Forest+Park+Senior+Center&ludocid=11179242060983261929&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVOxN80dO08cGd8tJGmgiWLg_fXZxH22Utw5h8i7dPN6l8B8N0wpiCkis&s"
"book club events Seattle","Book Club","https://issaquahhighlands.com/event/book-club-9-2/2026-05-12/","Book Club is a great place to meet neighbors and explore a variety of books. All are welcome and you...\n","Tue, May 12, 7:00 – 8:30 PM","May 12","","['Blakely Hall, 2550 NE Park Dr #5', 'Issaquah, WA']","{'name': 'Blakely Hall', 'rating': 4.5, 'reviews': 48, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Blakely+Hall&ludocid=18149445388396823902&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVCadqp65axk4ZSr8x9AAE0_AxfGW9ms7izwRHWd1hCk4L8yEZqd5-3JM&s"
"book club events Seattle","Queer Book Club","https://do206.com/events/2026/4/1/queer-book-club-tickets","Check out Queer Book Club at El Sueñito Brewing Company in on April 01, 2026 and get detailed info for the event - tickets, photos, video and reviews.","Wed, Apr 1, 7 PM","Apr 1","","['El Sueñito Brewing Company, 106 N 36th St Suite 100', 'Seattle, WA']","{'name': 'El Sueñito Brewing Company', 'rating': 4.5, 'reviews': 55, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=El+Sue%C3%B1ito+Brewing+Company&ludocid=14060162242473758874&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU_rixdNMmGYEtg4WxnizrAy5sIsZWx-8bu9p6_5FmDLc0WTGoogpO6Ts&s"
"book club events Seattle","Teen Book Club","https://krl.bibliocommons.com/events/6924dab91846dea39bc2c7d0","The Tween-Teen Book Club is now Teen Book Club! In this monthly group, we learn how to think critically about our books, try out new genres, and share our thoughts about what we read. This...","Tue, Feb 24, 4 – 5 PM","Feb 24","","['1270 Madison Ave N', 'Bainbridge Island, WA']","","","https://www.google.com/maps/vt/data=yHXDCJU9MX-seBD-RXLT_CbW2PSNm-C1VMfPPv_hj1AlUOkSTgDp0-ufGE3I7xDecdR4o88NhKCGdppx5GmwFQrsRmHtcNMTrlU15MsxBstmVggJzAQ"
"book club events Seattle","Book$ Club — Collective Chemistry Coworking Ballard","https://www.collectivechemistry.com/events/2025/9/8/book-club-p5e36-jmytz-nf5k4-dr9wb-nd455-a42ks-4cc8j-9sml4","Work on bookkeeping tasks in a cozy workspace with snacks, drinks, and people getting down to the same grind you are. Book$ Club is our monthly financial work party. Books - but with a dollar sign...","Mon, May 11, 4 – 8 PM","May 11","","['Collective Chemistry, 5201 11th Ave NW', 'Seattle, WA']","{'name': 'Collective Chemistry', 'rating': 4.8, 'reviews': 18, 'link': 'https://www.google.com/search?sca_esv=467342054b4434cd&hl=en&q=Collective+Chemistry&ludocid=17823236742040066152&ibp=gwp%3B0,7'}","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCyOA9xmCAa8aaMcBSZfDMbb8o8ikZg0vtiyefqUUAJpR4-knlFRuYh_g&s"
